GEOID,place,state,state_abbr,county,ua_name,ua_pop,congressio,cbg_pop,acs_pop,land_area,biome,cnpysource,tc_goal,treecanopy,tc_gap,priority_i,pctpoc,pctpocnorm,pctpov,pctpovnorm,unemplrate,unemplnorm,dep_ratio,dep_perc,depratnorm,linguistic,lingnorm,health_nor,temp_diff,temp_norm,tes,tesctyscor,holc_grade,child_perc,seniorperc,ej_disadva,rank,rankgrpsz,_bld1200,_veg1200,_tot1200,_bld1500,_veg1500,_tot1500,_bld1800,_veg1800,_tot1800
170010007001,Quincy,Illinois,IL,Adams County,"Quincy, IL",43427,IL Congressional District 18,385,348.0,0.4752,Forest,Google,0.3,0.0618,0.2382,0.60393032185398,0.201149425287356,0.45797232075362,0.731629392971246,0.824429157273833,0.149425287356322,0.789272030651341,0.359375,0.264367816091954,0.057839912280702,0.0,0.0,0.78994463790479,16.94,1.0,60,78.0,,0.21551724137931,0.048850574712644,Yes,40.0,42,,,,,,,,,
170010007002,Quincy,Illinois,IL,Adams County,"Quincy, IL",43427,IL Congressional District 18,858,758.0,0.8818,Forest,Google,0.4,0.0803,0.3197,0.481780976350732,0.131926121372032,0.297754808740495,0.690402476780186,0.776613765704628,0.028985507246377,0.153102935711631,0.684444444444444,0.406332453825857,0.244517218973359,0.0,0.0,0.78994463790479,10.13,0.707474226804124,57,78.0,,0.0,0.406332453825857,Yes,41.0,42,,,,,,,,,
170010008001,Quincy,Illinois,IL,Adams County,"Quincy, IL",43427,IL Congressional District 18,790,1098.0,0.407,Forest,Google,0.3,0.1497,0.1503,0.640249972332647,0.435336976320583,1.0,0.517304189435337,0.575852633074786,0.171428571428571,0.905494505494506,0.591304347826087,0.371584699453552,0.191029748283753,0.0,0.0,0.91186974789916,8.04,0.617697594501718,73,78.0,,0.324225865209472,0.04735883424408,Yes,30.0,42,,,,,,,,,
170010008002,Quincy,Illinois,IL,Adams County,"Quincy, IL",43427,IL Congressional District 18,801,497.0,1.3819,Forest,Google,0.5,0.3311,0.1689,0.538150398216347,0.177062374245473,0.402222780188721,0.883008356545961,1.0,0.0,0.0,1.74585635359116,0.635814889336016,0.854053180834222,0.0,0.0,0.91186974789916,-0.76,0.239690721649484,75,78.0,,0.20523138832998,0.430583501006036,Yes,28.0,42,,,,,,,,,
170010008003,Quincy,Illinois,IL,Adams County,"Quincy, IL",43427,IL Congressional District 18,864,1185.0,0.3662,Forest,Google,0.4,0.1925,0.2075,0.517942055467643,0.120675105485232,0.271714304010929,0.448101265822785,0.495590387047626,0.164926931106472,0.871152507895723,0.814701378254211,0.448945147679325,0.319319738857097,0.0,0.0,0.91186974789916,2.53,0.381013745704467,70,78.0,,0.189873417721519,0.259071729957806,Yes,34.0,42,,,,,,,,,
170010009001,Quincy,Illinois,IL,Adams County,"Quincy, IL",43427,IL Congressional District 18,1155,1304.0,0.5395,Forest,Google,0.4,0.1735,0.2265,0.562344877358901,0.229294478527607,0.523114117671401,0.600311041990669,0.672124814565798,0.180685358255452,0.954389328221104,0.74331550802139,0.426380368098159,0.278325046126904,0.0,0.0,0.448990241257793,10.4,0.719072164948454,65,78.0,,0.256901840490798,0.169478527607362,,38.0,42,,,,,,,,,
170010009002,Quincy,Illinois,IL,Adams County,"Quincy, IL",43427,IL Congressional District 18,1417,1295.0,1.2564,Forest,Google,0.5,0.3355,0.1645,0.347302478351878,0.044015444015444,0.094285323627651,0.353667953667954,0.386065682921456,0.128354725787631,0.677976243903898,0.466591166477916,0.318146718146718,0.119410833614803,0.0,0.0,0.448990241257793,-1.76,0.196735395189003,84,78.0,,0.196138996138996,0.122007722007722,,14.0,42,,,,,,,,,
170010010011,Quincy,Illinois,IL,Adams County,"Quincy, IL",43427,IL Congressional District 18,1124,1012.0,0.6028,Forest,Google,0.4,0.2322,0.1678,0.300356520562554,0.127470355731225,0.287441927893941,0.146245059288538,0.14549452622358,0.028985507246377,0.153102935711631,0.683860232945091,0.406126482213439,0.244181724416421,0.0,0.0,0.187729372145881,6.24,0.540378006872852,86,78.0,,0.238142292490119,0.16798418972332,,10.0,42,,,,,,,,,
170010010012,Quincy,Illinois,IL,Adams County,"Quincy, IL",43427,IL Congressional District 18,1177,1119.0,0.4878,Forest,Google,0.4,0.2194,0.1806,0.344057994414755,0.101876675603217,0.228205290498171,0.439678284182306,0.485821328322659,0.050724637681159,0.267930137495355,0.631195335276968,0.386952636282395,0.213937905989463,0.0,0.0,0.187729372145881,5.64,0.514604810996564,83,78.0,,0.263628239499553,0.123324396782842,,18.0,42,,,,,,,,,
170010010013,Quincy,Illinois,IL,Adams County,"Quincy, IL",43427,IL Congressional District 18,944,1332.0,0.539,Forest,Google,0.4,0.2583,0.1417,0.325287159822628,0.017267267267267,0.032376600884189,0.234645669291339,0.248022441788537,0.058734939759036,0.310240963855421,1.065116279069768,0.515765765765766,0.46312525499796,0.0,0.0,0.187729372145881,5.55,0.51073883161512,87,78.0,,0.323573573573574,0.192192192192192,,8.0,42,,,,,,,,,
